sample ID	forward sequence count	reverse sequence count
6778_193_1	2679586	2679586
6778_6_3G	2506221	2506221
6778_8_3G	2459621	2459621
6778_17_2G	2392946	2392946
6778_N1	2390100	2390100
6778_59_1	2370346	2370346
6778_23_1	2346316	2346316
6778_10_3G	2309560	2309560
6778_81_2	2297359	2297359
6778_10_1G	2267340	2267340
6778_M1_2	2253660	2253660
6778_190_3	2245031	2245031
6778_14_1G	2220491	2220491
6778_171_2	2215577	2215577
6778_171_1	2207340	2207340
6778_192_2	2178024	2178024
6778_21_1G	2168636	2168636
6778_60_1	2157401	2157401
6778_12_2G	2152203	2152203
6778_174_2	2144938	2144938
6778_29_3G	2143199	2143199
6778_87_3	2111649	2111649
6778_27_2G	2076700	2076700
6778_34_2G	2067509	2067509
6778_8_2G	2067170	2067170
6778_14_3G	2062228	2062228
6778_15_1G	2036817	2036817
6778_59_2	2032805	2032805
6778_16_1G	2006799	2006799
6778_7_2G	2001406	2001406
6778_170_3	1989439	1989439
6778_170_1	1976386	1976386
6778_20_2G	1973368	1973368
6778_16_2G	1969367	1969367
6778_20_1G	1947348	1947348
6778_47_1G	1943585	1943585
6778_61_2	1940837	1940837
6778_40_1G	1914807	1914807
6778_M1_1	1906031	1906031
6778_193_2	1896071	1896071
6778_47_2G	1889783	1889783
6778_29_2G	1884140	1884140
6778_34_3G	1839901	1839901
6778_7_3G	1829057	1829057
6778_25_1G	1802604	1802604
6778_59_3	1773891	1773891
6778_27_1G	1747062	1747062
6778_40_3G	1651673	1651673
